area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_num,BHK,Price_per_SqFt
Super built-up  Area,19-May,Chikka Tirupathi,3 Bedroom,Prrscly,1521,4.0,1.0,222.64829697903568,1521.0,3,14638.283825051654
Carpet  Area,18-Dec,Electronic City Phase II,1 BHK,Mainpro,1056,1.0,3.0,351.5748747226101,1056.0,1,33293.07525782293
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Theanmp,2700,4.0,1.0,99.18899505611893,2700.0,3,3673.6664835599604
Super built-up  Area,19-May,Lingadheeranahalli,4 Bedroom,Mainpro,1440,4.0,0.0,265.01950277641083,1440.0,4,18404.132137250752
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Theanmp,2600,2.0,0.0,239.8150441172244,2600.0,3,9223.65554297017
Plot  Area,18-Dec,Kothanur,3 Bedroom,SollyCl,1440,3.0,1.0,145.42612935822376,1440.0,3,10099.036760987761
Carpet  Area,19-May,Old Airport Road,4 Bedroom,Theanmp,1310,2.0,0.0,207.5433834261429,1310.0,4,15843.006368407854
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Theanmp,1440,4.0,0.0,278.84811832036087,1440.0,3,19364.45266113617
Built-up  Area,18-Dec,Chikka Tirupathi,4 Bedroom,SollyCl,1100 - 1500,4.0,3.0,394.20679719357855,1300.0,4,30323.599784121427
Built-up  Area,19-May,Chikka Tirupathi,1 BHK,Coomege ,1440,5.0,2.0,118.0313682681427,1440.0,1,8196.622796398799
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,SollyCl,1056,5.0,2.0,143.33047885390647,1056.0,4,13572.962012680537
Super built-up  Area,18-Dec,Uttarahalli,1 BHK,Theanmp,2600,3.0,3.0,325.1062720554411,2600.0,1,12504.087386747733
Super built-up  Area,18-Apr,Electronic City Phase II,3 Bedroom,Theanmp,2700,4.0,0.0,357.5111954832967,2700.0,3,13241.15538827025
Plot  Area,18-Dec,Kothanur,1 BHK,Mainpro,1100 - 1500,1.0,0.0,203.38815901790784,1300.0,1,15645.243001377525
Plot  Area,Ready To Move,Kothanur,1 BHK,Prrscly,1440,4.0,3.0,175.04024383231706,1440.0,1,12155.572488355352
Built-up  Area,18-Dec,Rajaji Nagar,3 Bedroom,,1100 - 1500,2.0,1.0,211.99777073354105,1300.0,3,16307.520825657004
Carpet  Area,Ready To Move,Electronic City Phase II,3 BHK,Coomege ,2600,4.0,1.0,215.33724979994207,2600.0,3,8282.201915382388
Carpet  Area,18-Apr,Chikka Tirupathi,6 Bedroom,Prrscly,1206,4.0,0.0,278.06039461148805,1206.0,6,23056.417463639144
Plot  Area,18-Apr,Rajaji Nagar,4 BHK,SollyCl,2700,4.0,3.0,354.00603258687835,2700.0,4,13111.334540254753
Plot  Area,19-May,Rajaji Nagar,1 BHK,Coomege ,1100 - 1500,1.0,0.0,249.17931132139572,1300.0,1,19167.639332415056
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,2700,5.0,3.0,226.5371246662275,2700.0,2,8390.263876526946
Plot  Area,19-May,Uttarahalli,4 Bedroom,Coomege ,1440,1.0,2.0,97.81604899114342,1440.0,4,6792.781179940515
Carpet  Area,Ready To Move,Whitefield,2 BHK,Coomege ,1310,3.0,1.0,166.33843804895585,1310.0,2,12697.59069075999
Built-up  Area,19-May,Old Airport Road,1 BHK,,1056,1.0,1.0,342.38767716918005,1056.0,1,32423.07548950569
Carpet  Area,18-Apr,Electronic City Phase II,4 BHK,Mainpro,2700,3.0,0.0,307.77546137483034,2700.0,4,11399.091162030754
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Theanmp,1206,1.0,0.0,258.7725317303488,1206.0,2,21457.092183279336
Built-up  Area,18-Apr,Chikka Tirupathi,4 Bedroom,Prrscly,2700,2.0,2.0,191.4525140760037,2700.0,4,7090.833854666804
Super built-up  Area,Ready To Move,Electronic City Phase II,3 Bedroom,Coomege ,1206,4.0,2.0,219.73130673958377,1206.0,3,18219.843013232483
Carpet  Area,18-Dec,Kothanur,4 Bedroom,SollyCl,1521,4.0,1.0,89.01601296500512,1521.0,4,5852.466335634787
Built-up  Area,18-Dec,Kothanur,2 BHK,Theanmp,1056,1.0,1.0,67.28114932274295,1056.0,2,6371.320958593083
Super built-up  Area,19-May,Uttarahalli,3 BHK,SollyCl,1206,5.0,1.0,256.0667615199386,1206.0,3,21232.733127689768
Super built-up  Area,18-Dec,Chikka Tirupathi,2 BHK,Mainpro,1440,5.0,1.0,203.5704044214169,1440.0,2,14136.833640376173
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,SollyCl,1100 - 1500,4.0,1.0,124.62554423643796,1300.0,4,9586.580325879842
Plot  Area,Ready To Move,Whitefield,1 BHK,Coomege ,1100 - 1500,3.0,3.0,167.59495727249504,1300.0,1,12891.919790191925
Built-up  Area,18-Dec,Rajaji Nagar,2 BHK,SollyCl,1440,4.0,1.0,282.9939397935959,1440.0,2,19652.35693011083
Super built-up  Area,19-May,Old Airport Road,3 Bedroom,Theanmp,1310,2.0,2.0,114.96839764099492,1310.0,3,8776.213560381291
Super built-up  Area,Ready To Move,Lingadheeranahalli,2 BHK,Theanmp,1206,1.0,2.0,178.9822636912461,1206.0,2,14840.983722325547
Super built-up  Area,Ready To Move,Chikka Tirupathi,4 BHK,Theanmp,1206,4.0,2.0,297.46470560459363,1206.0,4,24665.39847467609
Super built-up  Area,18-Apr,Old Airport Road,4 BHK,,1310,3.0,2.0,356.7136889821717,1310.0,4,27230.052594058903
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,Theanmp,2600,5.0,3.0,41.87937150313344,2600.0,3,1610.7450578128248
Plot  Area,18-Apr,Electronic City Phase II,2 BHK,,1521,4.0,1.0,252.65463658785575,1521.0,2,16611.087218136472
Plot  Area,18-Apr,Old Airport Road,3 Bedroom,Coomege ,1056,2.0,0.0,221.3133876064384,1056.0,3,20957.707159700607
Super built-up  Area,18-Apr,Old Airport Road,3 Bedroom,Mainpro,1100 - 1500,3.0,1.0,207.607202424984,1300.0,3,15969.784801921844
Carpet  Area,19-May,Rajaji Nagar,3 BHK,Coomege ,1100 - 1500,2.0,1.0,389.13851771307424,1300.0,3,29933.73213177494
Super built-up  Area,18-Apr,Electronic City Phase II,3 Bedroom,Theanmp,1440,5.0,2.0,274.3051923215338,1440.0,3,19048.971688995403
Built-up  Area,18-Dec,Old Airport Road,4 Bedroom,Mainpro,2700,3.0,2.0,256.78889042975743,2700.0,4,9510.69964554657
Super built-up  Area,18-Dec,Kothanur,3 BHK,Prrscly,1521,5.0,0.0,99.12660854996297,1521.0,3,6517.199773173108
Plot  Area,18-Dec,Old Airport Road,3 BHK,Mainpro,2600,4.0,3.0,44.46378214253626,2600.0,3,1710.1454670206253
Plot  Area,18-Apr,Uttarahalli,2 BHK,Coomege ,2600,4.0,2.0,159.9438366860993,2600.0,2,6151.686026388435
Super built-up  Area,18-Apr,Whitefield,3 Bedroom,Theanmp,1206,3.0,1.0,303.5238716912671,1206.0,3,25167.816889823145
Carpet  Area,18-Dec,Whitefield,3 BHK,SollyCl,1521,5.0,3.0,95.11636712951308,1521.0,3,6253.541560125778
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,SollyCl,2600,5.0,2.0,187.99883307931543,2600.0,3,7230.724349204439
Plot  Area,Ready To Move,Old Airport Road,3 BHK,Coomege ,2700,3.0,0.0,202.59927897722463,2700.0,3,7503.676999156468
Built-up  Area,18-Dec,Kothanur,1 BHK,Prrscly,1440,3.0,2.0,303.9753207045614,1440.0,1,21109.397271150097
Built-up  Area,Ready To Move,Electronic City Phase II,3 Bedroom,Theanmp,1100 - 1500,3.0,1.0,293.5470098282927,1300.0,3,22580.539217560978
Carpet  Area,18-Dec,Uttarahalli,1 BHK,Prrscly,1440,2.0,2.0,220.16071219184136,1440.0,1,15288.938346655648
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,SollyCl,1440,1.0,1.0,361.1560169823704,1440.0,4,25080.278957109054
Carpet  Area,19-May,Rajaji Nagar,3 Bedroom,Prrscly,1056,4.0,1.0,238.14253747476707,1056.0,3,22551.37665480749
Super built-up  Area,18-Dec,Rajaji Nagar,1 BHK,Mainpro,2600,3.0,3.0,146.94939711481217,2600.0,1,5651.899889031238
Carpet  Area,19-May,Whitefield,1 BHK,,1206,2.0,2.0,72.72225375372932,1206.0,1,6030.03762468734
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,Theanmp,1440,3.0,1.0,121.6283109709085,1440.0,1,8446.410484090868
Plot  Area,Ready To Move,Kothanur,4 BHK,Coomege ,2600,4.0,0.0,223.3829120650832,2600.0,4,8591.65046404166
Super built-up  Area,Ready To Move,Chikka Tirupathi,1 BHK,Prrscly,1056,4.0,3.0,194.6938854235258,1056.0,1,18436.920968136914
Super built-up  Area,18-Apr,Old Airport Road,4 Bedroom,SollyCl,1206,1.0,1.0,303.6908028683497,1206.0,4,25181.658612632644
Super built-up  Area,19-May,Rajaji Nagar,1 BHK,Prrscly,1521,1.0,2.0,232.1422140723322,1521.0,1,15262.472983059315
Plot  Area,18-Dec,Old Airport Road,4 Bedroom,Mainpro,1440,1.0,2.0,210.5051942729,1440.0,4,14618.416268951389
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Theanmp,1100 - 1500,2.0,0.0,79.07325755499501,1300.0,3,6082.558273461154
Carpet  Area,18-Apr,Chikka Tirupathi,4 Bedroom,Mainpro,2700,3.0,0.0,138.11980744287487,2700.0,4,5115.548423810181
Carpet  Area,18-Apr,Rajaji Nagar,6 Bedroom,Prrscly,1440,1.0,0.0,36.32705484332626,1440.0,6,2522.7121418976567
Plot  Area,Ready To Move,Chikka Tirupathi,2 BHK,Mainpro,1310,5.0,0.0,173.33245247136267,1310.0,2,13231.484921478068
Super built-up  Area,18-Apr,Lingadheeranahalli,6 Bedroom,SollyCl,2700,1.0,0.0,81.07052136093067,2700.0,6,3002.6119022566913
Carpet  Area,18-Apr,Lingadheeranahalli,3 BHK,,1310,4.0,0.0,50.74699724899904,1310.0,3,3873.8165838930563
Carpet  Area,19-May,Rajaji Nagar,3 BHK,Theanmp,1100 - 1500,1.0,2.0,130.63252912336736,1300.0,3,10048.656086412875
Carpet  Area,18-Apr,Uttarahalli,1 BHK,Theanmp,1440,3.0,2.0,37.12293115504638,1440.0,1,2577.981330211554
Built-up  Area,19-May,Uttarahalli,3 Bedroom,Theanmp,1206,2.0,3.0,131.25286984542947,1206.0,3,10883.322541080388
Built-up  Area,18-Apr,Uttarahalli,4 Bedroom,Mainpro,1056,3.0,2.0,258.5522829973753,1056.0,4,24484.117708084785
Carpet  Area,Ready To Move,Old Airport Road,4 BHK,Mainpro,1206,2.0,3.0,86.30817297931227,1206.0,4,7156.564923657735
Built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,SollyCl,1206,1.0,1.0,71.58762390801864,1206.0,4,5935.955547928577
Carpet  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,SollyCl,1521,5.0,0.0,134.2329947257602,1521.0,6,8825.311947781734
Carpet  Area,19-May,Rajaji Nagar,4 Bedroom,Theanmp,1206,4.0,1.0,119.970369229758,1206.0,4,9947.791810096021
Super built-up  Area,19-May,Kothanur,2 BHK,Mainpro,2600,1.0,3.0,327.0652431478757,2600.0,2,12579.43242876445
Built-up  Area,18-Apr,Whitefield,1 BHK,Mainpro,1440,3.0,1.0,70.56327332042885,1440.0,1,4900.22731391867
Plot  Area,18-Dec,Electronic City Phase II,4 BHK,SollyCl,1440,5.0,3.0,224.9837684376457,1440.0,4,15623.87280816984
Carpet  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,SollyCl,1206,5.0,0.0,115.36593225225188,1206.0,6,9565.997699191697
Carpet  Area,19-May,Rajaji Nagar,1 BHK,,1521,2.0,2.0,203.0602502944884,1521.0,1,13350.443806343748
Plot  Area,19-May,Lingadheeranahalli,6 Bedroom,Mainpro,1206,5.0,1.0,58.83659165617054,1206.0,6,4878.656024558089
Carpet  Area,19-May,Electronic City Phase II,1 BHK,Coomege ,2700,3.0,1.0,357.43326618533786,2700.0,1,13238.269117975475
Super built-up  Area,18-Dec,Electronic City Phase II,3 BHK,,2600,4.0,3.0,79.48184291388321,2600.0,3,3056.9939582262778
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Prrscly,2600,3.0,3.0,46.97713135572612,2600.0,4,1806.8127444510046
Built-up  Area,18-Dec,Chikka Tirupathi,2 BHK,SollyCl,1440,5.0,1.0,288.9539395081153,1440.0,2,20066.245799174674
Super built-up  Area,Ready To Move,Old Airport Road,6 Bedroom,,1521,4.0,2.0,388.7002559185669,1521.0,6,25555.57238123385
Plot  Area,18-Dec,Uttarahalli,4 Bedroom,Theanmp,1056,1.0,1.0,53.64946579631639,1056.0,4,5080.441836772385
Super built-up  Area,18-Dec,Whitefield,4 BHK,Mainpro,1521,5.0,2.0,277.34755100586284,1521.0,4,18234.552991838453
Carpet  Area,Ready To Move,Lingadheeranahalli,3 Bedroom,Coomege ,1310,2.0,3.0,177.36113379045958,1310.0,3,13539.017846599967
Built-up  Area,18-Dec,Lingadheeranahalli,1 BHK,Prrscly,1521,5.0,2.0,94.4370731350686,1521.0,1,6208.880547999251
Carpet  Area,18-Dec,Whitefield,6 Bedroom,Coomege ,1440,2.0,0.0,203.73801934811095,1440.0,6,14148.473565841039
Super built-up  Area,18-Dec,Uttarahalli,4 BHK,Coomege ,2700,3.0,0.0,330.41021913476675,2700.0,4,12237.41552350988
Plot  Area,18-Apr,Rajaji Nagar,1 BHK,Theanmp,2700,4.0,1.0,261.9582143714763,2700.0,1,9702.156087832454
Carpet  Area,Ready To Move,Old Airport Road,4 BHK,Coomege ,2700,4.0,1.0,172.76944684786926,2700.0,4,6398.868401772936
Built-up  Area,18-Apr,Electronic City Phase II,6 Bedroom,Prrscly,1440,2.0,0.0,66.76634132190019,1440.0,6,4636.5514806875135
Carpet  Area,18-Dec,Whitefield,1 BHK,Prrscly,1310,4.0,2.0,350.4806979700408,1310.0,1,26754.25175343823
Plot  Area,19-May,Rajaji Nagar,1 BHK,Mainpro,1521,3.0,1.0,181.2346297280232,1521.0,1,11915.491763841106
Super built-up  Area,19-May,Uttarahalli,4 BHK,Prrscly,2600,2.0,1.0,187.92169466635167,2600.0,4,7227.757487167372
Carpet  Area,18-Apr,Old Airport Road,3 BHK,Prrscly,1521,3.0,2.0,150.16784675853995,1521.0,3,9872.968228700853
Carpet  Area,18-Dec,Old Airport Road,3 Bedroom,Theanmp,1206,5.0,3.0,316.8929802874696,1206.0,3,26276.366524665802
Super built-up  Area,18-Apr,Whitefield,4 Bedroom,,2600,4.0,3.0,248.83176271526017,2600.0,4,9570.45241212539
Carpet  Area,18-Apr,Lingadheeranahalli,4 Bedroom,Prrscly,1521,4.0,1.0,230.3523032885406,1521.0,4,15144.793115617398
Carpet  Area,Ready To Move,Old Airport Road,1 BHK,Mainpro,1440,4.0,3.0,98.66295934158258,1440.0,1,6851.594398721013
Plot  Area,Ready To Move,Kothanur,2 BHK,,1521,2.0,3.0,308.536804302673,1521.0,2,20285.128488012688
Super built-up  Area,19-May,Rajaji Nagar,4 Bedroom,,1056,2.0,2.0,249.45540109995176,1056.0,4,23622.670558707552
Super built-up  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,Coomege ,2600,2.0,3.0,256.7896396331331,2600.0,6,9876.52460127435
Carpet  Area,Ready To Move,Old Airport Road,2 BHK,Coomege ,1100 - 1500,2.0,0.0,186.7401104529353,1300.0,2,14364.623880995025
Super built-up  Area,18-Apr,Electronic City Phase II,4 Bedroom,SollyCl,2700,1.0,1.0,315.7274431497108,2700.0,4,11693.609005544844
Carpet  Area,18-Apr,Rajaji Nagar,3 Bedroom,Theanmp,1440,4.0,3.0,101.9382064756044,1440.0,3,7079.042116361416
Plot  Area,19-May,Old Airport Road,4 Bedroom,Mainpro,1440,2.0,2.0,40.15964043235313,1440.0,4,2788.8639189134115
Built-up  Area,19-May,Lingadheeranahalli,1 BHK,Coomege ,1310,3.0,1.0,68.63757138742633,1310.0,1,5239.50926621575
Super built-up  Area,18-Apr,Electronic City Phase II,6 Bedroom,Mainpro,2600,2.0,3.0,173.96680233210003,2600.0,6,6691.030858926925
Super built-up  Area,18-Dec,Rajaji Nagar,3 Bedroom,Prrscly,1100 - 1500,3.0,2.0,160.05140057477104,1300.0,3,12311.64619805931
Built-up  Area,Ready To Move,Kothanur,4 Bedroom,Mainpro,2600,4.0,3.0,385.43324510280513,2600.0,4,14824.35558087712
Built-up  Area,19-May,Old Airport Road,3 Bedroom,Coomege ,2700,2.0,2.0,344.9818060980258,2700.0,3,12777.103929556512
Built-up  Area,18-Apr,Chikka Tirupathi,3 Bedroom,Theanmp,2600,5.0,3.0,115.33677116318836,2600.0,3,4436.029660122629
Carpet  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1206,5.0,1.0,261.8285039348091,1206.0,4,21710.489546833258
Plot  Area,18-Apr,Whitefield,3 BHK,Mainpro,1206,1.0,3.0,291.7390020091827,1206.0,3,24190.630349020124
Built-up  Area,18-Dec,Old Airport Road,3 Bedroom,Coomege ,1440,3.0,2.0,241.25035748801503,1440.0,3,16753.497047778823
Super built-up  Area,18-Dec,Rajaji Nagar,3 BHK,Theanmp,1440,2.0,2.0,226.50960447709105,1440.0,3,15729.833644242435
Built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Prrscly,1310,2.0,0.0,379.6593856261823,1310.0,3,28981.63249054827
Super built-up  Area,Ready To Move,Lingadheeranahalli,1 BHK,Mainpro,2600,3.0,2.0,101.03617227356618,2600.0,1,3886.0066259063915
Built-up  Area,19-May,Uttarahalli,4 Bedroom,,1310,4.0,3.0,359.0989069181605,1310.0,4,27412.130299096218
Plot  Area,Ready To Move,Electronic City Phase II,4 Bedroom,Theanmp,2700,4.0,2.0,95.9903494153552,2700.0,4,3555.1981264946367
Super built-up  Area,19-May,Uttarahalli,6 Bedroom,,1440,4.0,2.0,74.15946902767575,1440.0,6,5149.963126921927
Built-up  Area,18-Dec,Kothanur,2 BHK,Theanmp,1440,4.0,2.0,309.7042720470413,1440.0,2,21507.241114377866
Super built-up  Area,19-May,Uttarahalli,1 BHK,SollyCl,1310,4.0,1.0,89.81282179475065,1310.0,1,6855.940595019134
Plot  Area,Ready To Move,Chikka Tirupathi,2 BHK,Mainpro,2600,4.0,0.0,244.7202625512604,2600.0,2,9412.317790433093
Carpet  Area,19-May,Rajaji Nagar,6 Bedroom,,2700,3.0,3.0,131.82069939522734,2700.0,6,4882.248125749161
Built-up  Area,Ready To Move,Uttarahalli,1 BHK,,1056,5.0,1.0,394.2391898194292,1056.0,1,37333.256611688375
Plot  Area,Ready To Move,Rajaji Nagar,1 BHK,Mainpro,2700,4.0,0.0,145.72842611430522,2700.0,1,5397.3491153446375
Super built-up  Area,18-Dec,Kothanur,6 Bedroom,SollyCl,1440,5.0,1.0,209.89186348298756,1440.0,6,14575.823852985246
Built-up  Area,Ready To Move,Old Airport Road,6 Bedroom,Theanmp,1056,3.0,1.0,393.4670509905054,1056.0,6,37260.137404403926
Carpet  Area,18-Dec,Chikka Tirupathi,2 BHK,Coomege ,2600,4.0,1.0,270.42734667313204,2600.0,2,10401.051795120462
Plot  Area,18-Apr,Old Airport Road,4 BHK,SollyCl,1440,1.0,2.0,196.0050584109269,1440.0,4,13611.462389647702
Built-up  Area,18-Dec,Lingadheeranahalli,4 Bedroom,,2600,4.0,0.0,87.53416163557193,2600.0,4,3366.698524445075
Plot  Area,Ready To Move,Uttarahalli,4 BHK,,1056,4.0,3.0,201.77294397085197,1056.0,4,19107.286360876133
Carpet  Area,19-May,Rajaji Nagar,4 Bedroom,Mainpro,2600,1.0,2.0,156.11327178239435,2600.0,4,6004.356607015167
Carpet  Area,Ready To Move,Rajaji Nagar,4 BHK,Mainpro,2600,5.0,1.0,308.51380552292073,2600.0,4,11865.915597035413
Plot  Area,19-May,Uttarahalli,3 Bedroom,Prrscly,1310,5.0,0.0,164.87922259205368,1310.0,3,12586.200197866692
Plot  Area,19-May,Lingadheeranahalli,1 BHK,Theanmp,1310,2.0,0.0,301.7210674525886,1310.0,1,23032.14255363272
Built-up  Area,19-May,Uttarahalli,3 BHK,Theanmp,1440,1.0,0.0,387.6690939489804,1440.0,3,26921.464857568084
Plot  Area,Ready To Move,Old Airport Road,3 Bedroom,Prrscly,2600,2.0,3.0,219.9557514283,2600.0,3,8459.836593396154
Plot  Area,18-Apr,Chikka Tirupathi,2 BHK,Theanmp,1440,3.0,3.0,314.00931707141746,1440.0,2,21806.20257440399
Plot  Area,18-Dec,Uttarahalli,6 Bedroom,,1206,1.0,0.0,119.53217344593024,1206.0,6,9911.457167987583
Carpet  Area,18-Apr,Old Airport Road,3 Bedroom,Prrscly,1056,3.0,2.0,51.33313812192517,1056.0,3,4861.0926251823075
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Mainpro,1310,5.0,1.0,187.7178317453788,1310.0,4,14329.605476746472
Super built-up  Area,19-May,Rajaji Nagar,4 BHK,Mainpro,1521,1.0,3.0,330.96760484784784,1521.0,4,21759.868826288483
Built-up  Area,19-May,Electronic City Phase II,6 Bedroom,,1310,2.0,1.0,332.496044900608,1310.0,6,25381.377473328856
Built-up  Area,18-Dec,Uttarahalli,2 BHK,Coomege ,1440,2.0,0.0,328.78749249398845,1440.0,2,22832.464756526977
Carpet  Area,Ready To Move,Whitefield,4 BHK,SollyCl,2700,2.0,0.0,158.75833413355076,2700.0,4,5879.938301242621
Super built-up  Area,18-Dec,Whitefield,3 Bedroom,Coomege ,1521,3.0,1.0,31.866011262128023,1521.0,3,2095.069773972914
Carpet  Area,18-Apr,Whitefield,3 BHK,SollyCl,1056,2.0,0.0,395.3396358572764,1056.0,3,37437.46551678754
Built-up  Area,18-Apr,Old Airport Road,2 BHK,Coomege ,2600,1.0,3.0,106.5214231643171,2600.0,2,4096.977814012196
Super built-up  Area,19-May,Chikka Tirupathi,6 Bedroom,Theanmp,2700,3.0,0.0,357.4928782837114,2700.0,6,13240.476973470792
Super built-up  Area,18-Dec,Chikka Tirupathi,3 BHK,Coomege ,1440,3.0,0.0,223.4911635393432,1440.0,3,15520.219690232168
Built-up  Area,18-Dec,Kothanur,4 BHK,Mainpro,1056,5.0,3.0,149.58725487336443,1056.0,4,14165.459741795874
Carpet  Area,18-Dec,Whitefield,2 BHK,Coomege ,1521,4.0,0.0,351.85904242095364,1521.0,2,23133.40186857026
Plot  Area,Ready To Move,Lingadheeranahalli,3 BHK,Prrscly,1310,3.0,3.0,247.756681420052,1310.0,3,18912.72377252305
Plot  Area,19-May,Kothanur,4 Bedroom,SollyCl,1100 - 1500,5.0,2.0,30.345009377921656,1300.0,4,2334.2314906093584
Plot  Area,Ready To Move,Uttarahalli,2 BHK,Theanmp,2600,1.0,3.0,373.764146829621,2600.0,2,14375.544108831577
Plot  Area,18-Apr,Kothanur,4 BHK,SollyCl,1100 - 1500,3.0,2.0,320.69129937218645,1300.0,4,24668.561490168187
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Mainpro,2700,4.0,3.0,158.11634770621555,2700.0,1,5856.161026156132
Built-up  Area,19-May,Uttarahalli,3 Bedroom,Prrscly,1100 - 1500,5.0,3.0,370.54917577423066,1300.0,3,28503.782751863895
Built-up  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Coomege ,2700,1.0,2.0,207.23989506350296,2700.0,4,7675.551669018629
Carpet  Area,18-Dec,Rajaji Nagar,3 Bedroom,Prrscly,1521,3.0,2.0,202.29855857986192,1521.0,3,13300.365455612224
Plot  Area,18-Apr,Rajaji Nagar,6 Bedroom,SollyCl,1440,4.0,3.0,368.9308983571518,1440.0,6,25620.20127480221
Super built-up  Area,19-May,Uttarahalli,2 BHK,Theanmp,1056,1.0,0.0,236.16694392725097,1056.0,2,22364.293932504825
Super built-up  Area,18-Dec,Chikka Tirupathi,2 BHK,Mainpro,2700,2.0,0.0,289.53278397861965,2700.0,2,10723.43644365258
Super built-up  Area,Ready To Move,Old Airport Road,4 Bedroom,Coomege ,2700,4.0,2.0,140.11279509378613,2700.0,4,5189.362781251339
Super built-up  Area,18-Dec,Uttarahalli,3 BHK,Theanmp,1521,2.0,2.0,354.2320447124044,1521.0,3,23289.417798317187
Plot  Area,19-May,Uttarahalli,4 Bedroom,,1056,1.0,3.0,351.9270083031612,1056.0,4,33326.42124082966
Super built-up  Area,18-Dec,Kothanur,4 BHK,,1100 - 1500,5.0,1.0,258.77286194213326,1300.0,4,19905.604764779484
Super built-up  Area,19-May,Kothanur,4 Bedroom,SollyCl,1310,1.0,1.0,294.8594562817782,1310.0,4,22508.355441357115
Built-up  Area,18-Dec,Lingadheeranahalli,4 BHK,Theanmp,1206,3.0,0.0,307.64620746712404,1206.0,4,25509.63577671012
Built-up  Area,18-Dec,Chikka Tirupathi,2 BHK,Mainpro,2600,2.0,1.0,350.73214773990725,2600.0,2,13489.697989996434
Built-up  Area,18-Apr,Whitefield,2 BHK,Prrscly,1100 - 1500,1.0,1.0,206.3946706309017,1300.0,2,15876.513125453976
Built-up  Area,18-Apr,Uttarahalli,3 BHK,,1100 - 1500,3.0,2.0,330.9549122378665,1300.0,3,25458.070172143576
Plot  Area,18-Apr,Uttarahalli,2 BHK,,1521,4.0,2.0,163.42480427256012,1521.0,2,10744.563068544387
Plot  Area,18-Apr,Uttarahalli,4 BHK,Mainpro,1056,3.0,1.0,84.12085251828236,1056.0,4,7965.989821807042
Plot  Area,19-May,Chikka Tirupathi,6 Bedroom,,1521,4.0,1.0,45.5571033196927,1521.0,6,2995.2073188489617
Plot  Area,19-May,Lingadheeranahalli,3 BHK,SollyCl,1310,5.0,0.0,260.6243210240048,1310.0,3,19894.986337710292
Super built-up  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,1056,2.0,0.0,171.01354105364123,1056.0,4,16194.464114928149
Carpet  Area,Ready To Move,Kothanur,1 BHK,Prrscly,2700,3.0,0.0,277.0668952618004,2700.0,1,10261.736861548165
Super built-up  Area,18-Apr,Kothanur,4 BHK,,1440,3.0,1.0,260.3485944445692,1440.0,4,18079.763503095084
Built-up  Area,19-May,Lingadheeranahalli,4 Bedroom,Mainpro,1206,2.0,3.0,178.94205959711363,1206.0,4,14837.650049511909
Built-up  Area,Ready To Move,Kothanur,4 Bedroom,Mainpro,1310,2.0,0.0,41.30777232582136,1310.0,4,3153.2650630397984
Super built-up  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1206,4.0,3.0,338.6305069754876,1206.0,4,28078.81484042186
Carpet  Area,Ready To Move,Rajaji Nagar,3 Bedroom,Coomege ,1440,4.0,0.0,328.9860554658394,1440.0,3,22846.2538517944
Carpet  Area,Ready To Move,Chikka Tirupathi,4 BHK,SollyCl,2700,3.0,2.0,104.38255846905804,2700.0,4,3866.0206840391866
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Mainpro,1206,4.0,0.0,364.9921352629942,1206.0,3,30264.687832752425
Built-up  Area,18-Dec,Lingadheeranahalli,6 Bedroom,SollyCl,1521,2.0,0.0,272.2197570567285,1521.0,6,17897.41992483422
Plot  Area,19-May,Chikka Tirupathi,3 Bedroom,,2700,2.0,0.0,208.77014475922888,2700.0,3,7732.227583675144
Carpet  Area,18-Dec,Electronic City Phase II,1 BHK,Coomege ,1206,2.0,2.0,228.67572696095863,1206.0,1,18961.503064756103
Carpet  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,Prrscly,1521,5.0,0.0,251.01428991338304,1521.0,6,16503.24062546897
Carpet  Area,Ready To Move,Whitefield,3 Bedroom,,1310,3.0,1.0,214.4054655608064,1310.0,3,16366.829432122626
